127.0.0.1 - - [13/Nov/2019:18:21:26 -0700] "GET / HTTP/1.1" 404 956
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:28 -0700] "GET /eventAdmin/ HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:28 -0700] "GET /eventAdmin/loginTheme/login-box.css HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:28 -0700] "GET /eventAdmin/loginTheme/login-btn.png HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:28 -0700] "GET /eventAdmin/loginTheme/login-box-backg.png HTTP/1.1" 200 55780
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:44 -0700] "GET /eventAdmin/ HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:44 -0700] "GET /eventAdmin/loginTheme/login-box.css HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:44 -0700] "GET /eventAdmin/loginTheme/login-btn.png HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:44 -0700] "GET /eventAdmin/loginTheme/login-box-backg.png HTTP/1.1" 200 55780
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:44 -0700] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:48 -0700] "POST /eventAdmin/login.do;jsessionid=FFD670124E0A69979A3DD2048D4ECCB7 HTTP/1.1" 200 15703
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:48 -0700] "GET /eventAdmin/companyLogo.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:48 -0700] "GET /eventAdmin/main.jsp HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:48 -0700] "GET /files/uploadEventAdmin/company_logo_2_Logo%20Candilejas.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:48 -0700] "GET /eventAdmin/treeMenu.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:50 -0700] "GET /eventAdmin/pre.jsp?&process=%27quoteNew%27&action=%27pre.do%27&target=%27%27 HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "POST /eventAdmin/pre.do HTTP/1.1" 200 15792
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/GridViewCSSThemes/WhiteChromeGridView.css HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/GridViewCSSThemes/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/GridViewCSSThemes/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/GridViewCSSThemes/js/bootstrap.min.js HTTP/1.1" 200 37608
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/GridViewCSSThemes/js/ajaxfile.js HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/js/utilajax.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/getSystemDate.js HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:21:51 -0700] "GET /eventAdmin/Calendar/calendar.js HTTP/1.1" 200 16656
