127.0.0.1 - - [02/Jun/2021:08:39:13 -0600] "GET / HTTP/1.1" 404 956
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:14 -0600] "GET /bituos/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/index.action HTTP/1.1" 200 144125
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_twitter/css/stylesheet.css HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/components/com_k2/css/k2.css HTTP/1.1" 200 49714
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_youyork_slider/css/stylesheet.css HTTP/1.1" 200 2990
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yjme/css/stylesheet.css HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_multitab/css/mod_yj_multitab.css HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yjis4/css/mod_yjis4.css HTTP/1.1" 200 6124
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yjis4/css/mediaboxAdv-Dark.css HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_pop_login/css/stylesheet.css HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_live_search/css/stylesheet.css HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/css/font-awesome.min.css HTTP/1.1" 200 41383
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/css/template.css HTTP/1.1" 200 10931
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/css_compiled/bootstrap-red.css HTTP/1.1" 200 127100
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/css/menus.css HTTP/1.1" 200 19063
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/css/layout.css HTTP/1.1" 200 27923
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/css/yjresponsive.css HTTP/1.1" 200 7195
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/css/red.css HTTP/1.1" 200 46468
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/css/custom_responsive.css HTTP/1.1" 200 10002
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/css/fontfacekits/Play/stylesheet.css HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/media/system/js/core.js HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/media/system/js/caption.js HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/media/system/js/mootools-core.js HTTP/1.1" 200 96362
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/css/yjsg_layout.css HTTP/1.1" 200 25639
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/css/newsitems.css HTTP/1.1" 200 7030
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/media/system/js/mootools-more.js HTTP/1.1" 200 238331
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/css/typo.css HTTP/1.1" 200 36361
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/css/joomladefaults.css HTTP/1.1" 200 12442
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/src/libraries/jquery-noconflict.js HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/src/yjsg.jquicustom.min.js HTTP/1.1" 200 21857
